,company,name,models,gear,year,kms,owner,fuel,price
450,Maruti,Baleno,ZETA 1.2 K12,Manual,2016,31208,1,P,640799
451,Maruti,Dzire,ZXI Plus,Manual,2017,21120,1,P,789699
452,Maruti,Swift,VXI,Manual,2016,21290,1,P,508699
453,Maruti,Wagon R 1.0,VXI OPT AMT,Automatic,2017,39723,1,P,471599
454,Maruti,Dzire,VXI,Manual,2018,26542,2,P,682999
455,Maruti,Ritz,VXI BS IV,Manual,2014,40610,1,P,409699
456,Maruti,Baleno,ZETA 1.2 K12 AMT,Automatic,2017,68693,1,P,674999
457,Ford,Ecosport,1.5 TITANIUM TI VCT,Manual,2016,14125,2,P,687799
458,Mahindra,XUV500,W11 AT,Automatic,2018,36655,1,D,1879199
459,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2017,26237,3,P,535899
460,Maruti,Celerio,VXI,Manual,2017,15388,1,P,502599
461,Honda,City,V MT PETROL,Manual,2017,15439,1,P,884899
462,Maruti,Alto 800,VXI,Manual,2016,13482,1,P,291999
463,Hyundai,Creta,1.6 SX CRDI,Manual,2015,59093,1,D,1027999
464,Ford,Ecosport,1.5 TITANIUM TI VCT AT,Automatic,2015,66698,1,P,690699
465,Maruti,Wagon R 1.0,VXI,Manual,2018,6418,1,P,529899
466,Maruti,Alto 800,LXI,Manual,2017,5150,1,P,298299
467,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,21934,2,P,450199
468,Honda,Jazz,1.2 S MT,Manual,2016,75771,2,P,581899
469,Mahindra,XUV500,W9,Manual,2020,10813,1,D,1736899
470,Maruti,Baleno,ZETA 1.2 K12,Manual,2021,3201,1,P,871699
471,Renault,Kwid,1.0 RXT,Manual,2017,30354,2,P,366399
472,MG,HECTOR,SMART DCT PETROL,Automatic,2020,6760,1,P,1705799
473,Hyundai,VENUE,1.0 Turbo GDI DCT AT SX+ DT,Automatic,2019,15490,1,P,1267599
474,Hyundai,VENUE,S MT 1.2,KAPPA,2020,23096,1,P,864899
475,Ford,Ecosport,1.5 TITANIUM TI VCT,Manual,2019,37947,2,P,875799
476,Renault,Kwid,1.0 RXT,Manual,2018,45410,1,P,384899
477,Hyundai,Grand i10,SPORTS 1.2 VTVT,Manual,2014,25485,1,P,448099
478,Ford,Ecosport,1.0 ECOBOOST TITANIUM OPT,Manual,2017,26280,1,P,858599
479,Hyundai,NEW SANTRO,ASTA 1.1 MT,Manual,2018,8066,1,P,576799
480,Hyundai,Grand i10,Magna 1.2 AT  VTVT,Automatic,2017,23851,1,P,555599
481,Hyundai,Eon,MAGNA PLUS AIRBAG,Manual,2018,22004,2,P,415199
482,Maruti,Swift Dzire,VXI 1.2 BS IV,Manual,2014,42551,1,P,451399
483,Hyundai,i10,SPORTZ 1.2 AT KAPPA2,Automatic,2013,43339,2,P,397299
484,Maruti,OMNI E,8,STR,2018,13465,1,P,363499
